date_trunc,sum
6/25/2017 12:00 AM UTC,
6/26/2017 12:00 AM UTC,737725.0535
6/27/2017 12:00 AM UTC,942889.904
6/28/2017 12:00 AM UTC,4704751.4535
6/29/2017 12:00 AM UTC,6358059.6832
6/30/2017 12:00 AM UTC,1609809.09187
7/3/2017 12:00 AM UTC,5500.0
7/5/2017 12:00 AM UTC,944884.85
7/6/2017 12:00 AM UTC,216124.85
7/7/2017 12:00 AM UTC,66805.0
7/10/2017 12:00 AM UTC,1312813.0405
7/11/2017 12:00 AM UTC,7259644.576
7/12/2017 12:00 AM UTC,124328.0
7/13/2017 12:00 AM UTC,352783.75
7/14/2017 12:00 AM UTC,20903893.0378333
7/15/2017 12:00 AM UTC,2901165.586
7/17/2017 12:00 AM UTC,5707844.9387
7/18/2017 12:00 AM UTC,925918.324
7/19/2017 12:00 AM UTC,4264260.686
7/20/2017 12:00 AM UTC,1646017.75
7/21/2017 12:00 AM UTC,1372762.3119
7/22/2017 12:00 AM UTC,1734378.105
7/23/2017 12:00 AM UTC,24000.0
7/24/2017 12:00 AM UTC,15305168.912661
7/25/2017 12:00 AM UTC,1250707.76523
7/26/2017 12:00 AM UTC,1730003.586
7/27/2017 12:00 AM UTC,256720.0
7/28/2017 12:00 AM UTC,2177423.586
7/29/2017 12:00 AM UTC,
7/30/2017 12:00 AM UTC,89908.75
7/31/2017 12:00 AM UTC,5331007.757992
8/1/2017 12:00 AM UTC,45605.0
8/2/2017 12:00 AM UTC,1341607.64714
8/3/2017 12:00 AM UTC,994152.834
8/4/2017 12:00 AM UTC,28760.0
8/5/2017 12:00 AM UTC,
8/6/2017 12:00 AM UTC,
8/7/2017 12:00 AM UTC,1204254.2967
8/8/2017 12:00 AM UTC,2458382.76911
8/9/2017 12:00 AM UTC,2008699.6838
8/10/2017 12:00 AM UTC,1447321.168
8/11/2017 12:00 AM UTC,1334533.0614
8/12/2017 12:00 AM UTC,1150000.0
8/13/2017 12:00 AM UTC,1175000.0
8/14/2017 12:00 AM UTC,4546640.08
8/15/2017 12:00 AM UTC,3583537.7831
8/16/2017 12:00 AM UTC,1157304.4998
8/17/2017 12:00 AM UTC,482673.6162
8/18/2017 12:00 AM UTC,771985.468
8/19/2017 12:00 AM UTC,88750.0
8/20/2017 12:00 AM UTC,3775.0
8/21/2017 12:00 AM UTC,2842300.0
8/22/2017 12:00 AM UTC,172025.0
8/23/2017 12:00 AM UTC,1224054.0
8/24/2017 12:00 AM UTC,33625985.6250399
8/25/2017 12:00 AM UTC,
8/26/2017 12:00 AM UTC,30995.0
8/27/2017 12:00 AM UTC,
8/28/2017 12:00 AM UTC,793616.604
8/29/2017 12:00 AM UTC,237570.0
8/30/2017 12:00 AM UTC,155920.0
