Date,Amount
2018-08-24 0:00:00,2277
2018-08-25 0:00:00,239
2018-08-26 0:00:00,339
2018-08-27 0:00:00,2003
2018-08-28 0:00:00,2276
2018-08-29 0:00:00,4256
2018-08-30 0:00:00,2974
2018-08-31 0:00:00,3002
2018-09-01 0:00:00,188
2018-09-02 0:00:00,156
2018-09-03 0:00:00,553
2018-09-04 0:00:00,4403
2018-09-05 0:00:00,3007
2018-09-06 0:00:00,3960
2018-09-07 0:00:00,2258
2018-09-08 0:00:00,477
2018-09-09 0:00:00,177
2018-09-10 0:00:00,2650
2018-09-11 0:00:00,2867
2018-09-12 0:00:00,2417
2018-09-13 0:00:00,2456
2018-09-14 0:00:00,2032
2018-09-15 0:00:00,154
2018-09-16 0:00:00,165
2018-09-17 0:00:00,3191
2018-09-18 0:00:00,3322
2018-09-19 0:00:00,1786
2018-09-20 0:00:00,2609
2018-09-21 0:00:00,2060
2018-09-22 0:00:00,850
2018-09-23 0:00:00,1315
2018-09-24 0:00:00,2338
2018-09-25 0:00:00,2551
2018-09-26 0:00:00,2833
2018-09-27 0:00:00,2360
2018-09-28 0:00:00,2459
2018-09-29 0:00:00,328
2018-09-30 0:00:00,309
2018-10-01 0:00:00,2444
2018-10-02 0:00:00,2474
2018-10-03 0:00:00,1838
2018-10-04 0:00:00,1903
2018-10-05 0:00:00,1692
2018-10-06 0:00:00,302
2018-10-07 0:00:00,262
2018-10-08 0:00:00,1542
2018-10-09 0:00:00,1845
2018-10-10 0:00:00,2384
2018-10-11 0:00:00,2464
2018-10-12 0:00:00,1538
2018-10-13 0:00:00,361
2018-10-14 0:00:00,381
2018-10-15 0:00:00,1703
2018-10-16 0:00:00,2177
2018-10-17 0:00:00,1577
2018-10-18 0:00:00,2400
2018-10-19 0:00:00,1613
2018-10-20 0:00:00,258
2018-10-21 0:00:00,395
2018-10-22 0:00:00,2782
2018-10-23 0:00:00,16995
2018-10-24 0:00:00,24246
2018-10-25 0:00:00,30718
2018-10-26 0:00:00,12419
2018-10-27 0:00:00,441
2018-10-28 0:00:00,516
2018-10-29 0:00:00,3184
2018-10-30 0:00:00,2372
2018-10-31 0:00:00,38463
2018-11-01 0:00:00,7132
2018-11-02 0:00:00,44302
2018-11-03 0:00:00,22096
2018-11-04 0:00:00,331
2018-11-05 0:00:00,2155
2018-11-06 0:00:00,2263
2018-11-07 0:00:00,3553
2018-11-08 0:00:00,2569
2018-11-09 0:00:00,1962
2018-11-10 0:00:00,21923
2018-11-11 0:00:00,23637
2018-11-12 0:00:00,19241
2018-11-13 0:00:00,3144
2018-11-14 0:00:00,3186
2018-11-15 0:00:00,3153
2018-11-16 0:00:00,3215
2018-11-17 0:00:00,508
2018-11-18 0:00:00,1024
2018-11-19 0:00:00,5343
2018-11-20 0:00:00,3434
2018-11-21 0:00:00,2032
2018-11-22 0:00:00,252
2018-11-23 0:00:00,463
2018-11-24 0:00:00,420
2018-11-25 0:00:00,380
2018-11-26 0:00:00,3025
2018-11-27 0:00:00,2977
2018-11-28 0:00:00,3811
2018-11-29 0:00:00,3427
2018-11-30 0:00:00,3151
2018-12-01 0:00:00,424
2018-12-02 0:00:00,748
2018-12-03 0:00:00,4078
2018-12-04 0:00:00,2887
2018-12-05 0:00:00,3199
2018-12-06 0:00:00,3419
2018-12-07 0:00:00,2208
2018-12-08 0:00:00,460
2018-12-09 0:00:00,442
2018-12-10 0:00:00,4378
2018-12-11 0:00:00,3375
2018-12-12 0:00:00,3829
2018-12-13 0:00:00,2550
2018-12-14 0:00:00,2064
2018-12-15 0:00:00,367
2018-12-16 0:00:00,633
2018-12-17 0:00:00,3162
2018-12-18 0:00:00,2628
2018-12-19 0:00:00,2604
2018-12-20 0:00:00,3079
2018-12-21 0:00:00,1832
2018-12-22 0:00:00,274
2018-12-23 0:00:00,362
2018-12-24 0:00:00,341
2018-12-25 0:00:00,283
2018-12-26 0:00:00,1026
2018-12-27 0:00:00,1228
2018-12-28 0:00:00,1770
2018-12-29 0:00:00,544
2018-12-30 0:00:00,463
2018-12-31 0:00:00,381
2019-01-01 0:00:00,413
2019-01-02 0:00:00,2501
2019-01-03 0:00:00,2124
2019-01-04 0:00:00,2424
2019-01-05 0:00:00,471
2019-01-06 0:00:00,597
2019-01-07 0:00:00,3315
2019-01-08 0:00:00,3274
2019-01-09 0:00:00,4641
2019-01-10 0:00:00,4075
2019-01-11 0:00:00,4600
2019-01-12 0:00:00,420
2019-01-13 0:00:00,1265
2019-01-14 0:00:00,5518
2019-01-15 0:00:00,3021
2019-01-16 0:00:00,3854
2019-01-17 0:00:00,3549
2019-01-18 0:00:00,3070
2019-01-19 0:00:00,406
2019-01-20 0:00:00,408
2019-01-21 0:00:00,1404
2019-01-22 0:00:00,3533
2019-01-23 0:00:00,4025
2019-01-24 0:00:00,3599
2019-01-25 0:00:00,2559
2019-01-26 0:00:00,578
2019-01-27 0:00:00,549
2019-01-28 0:00:00,5210
2019-01-29 0:00:00,3662
2019-01-30 0:00:00,3702
2019-01-31 0:00:00,3310
2019-02-01 0:00:00,3291
2019-02-02 0:00:00,448
2019-02-03 0:00:00,543
2019-02-04 0:00:00,4830
2019-02-05 0:00:00,4707
2019-02-06 0:00:00,5757
2019-02-07 0:00:00,5547
2019-02-08 0:00:00,3941
2019-02-09 0:00:00,707
2019-02-10 0:00:00,835
2019-02-11 0:00:00,4695
2019-02-12 0:00:00,3791
2019-02-13 0:00:00,4024
2019-02-14 0:00:00,4264
2019-02-15 0:00:00,3317
2019-02-16 0:00:00,569
2019-02-17 0:00:00,868
2019-02-18 0:00:00,2771
2019-02-19 0:00:00,4866
2019-02-20 0:00:00,4430
2019-02-21 0:00:00,4091
2019-02-22 0:00:00,4895
2019-02-23 0:00:00,460
2019-02-24 0:00:00,723
2019-02-25 0:00:00,5608
2019-02-26 0:00:00,5476
2019-02-27 0:00:00,5678
2019-02-28 0:00:00,5298
2019-03-01 0:00:00,3877
2019-03-02 0:00:00,727
2019-03-03 0:00:00,685
2019-03-04 0:00:00,4514
2019-03-05 0:00:00,6279
2019-03-06 0:00:00,4933
2019-03-07 0:00:00,4377
2019-03-08 0:00:00,2911
2019-03-09 0:00:00,362
2019-03-10 0:00:00,1208
2019-03-11 0:00:00,4252
2019-03-12 0:00:00,3557
2019-03-13 0:00:00,3971
2019-03-14 0:00:00,3085
2019-03-15 0:00:00,3161
2019-03-16 0:00:00,399
2019-03-17 0:00:00,711
2019-03-18 0:00:00,4337
2019-03-19 0:00:00,4190
2019-03-20 0:00:00,4566
2019-03-21 0:00:00,5128
2019-03-22 0:00:00,3492
2019-03-23 0:00:00,489
2019-03-24 0:00:00,674
2019-03-25 0:00:00,5013
2019-03-26 0:00:00,4876
2019-03-27 0:00:00,4493
2019-03-28 0:00:00,4805
2019-03-29 0:00:00,4115
2019-03-30 0:00:00,411
2019-03-31 0:00:00,460
2019-04-01 0:00:00,3848
2019-04-02 0:00:00,3636
2019-04-03 0:00:00,4609
2019-04-04 0:00:00,4710
2019-04-05 0:00:00,4611
2019-04-06 0:00:00,579
2019-04-07 0:00:00,637
2019-04-08 0:00:00,5268
2019-04-09 0:00:00,5338
2019-04-10 0:00:00,4670
2019-04-11 0:00:00,4443
2019-04-12 0:00:00,3139
2019-04-13 0:00:00,614
2019-04-14 0:00:00,673
2019-04-15 0:00:00,3457
2019-04-16 0:00:00,3609
2019-04-17 0:00:00,2602
2019-04-18 0:00:00,4268
2019-04-19 0:00:00,4143
2019-04-20 0:00:00,515
2019-04-21 0:00:00,588
2019-04-22 0:00:00,3620
2019-04-23 0:00:00,4103
2019-04-24 0:00:00,4119
2019-04-25 0:00:00,3941
2019-04-26 0:00:00,3129
2019-04-27 0:00:00,371
2019-04-28 0:00:00,492
2019-04-29 0:00:00,4182
2019-04-30 0:00:00,3633
2019-05-01 0:00:00,4842
2019-05-02 0:00:00,3227
2019-05-03 0:00:00,2885
2019-05-04 0:00:00,412
2019-05-05 0:00:00,544
2019-05-06 0:00:00,4481
2019-05-07 0:00:00,4998
2019-05-08 0:00:00,4574
2019-05-09 0:00:00,6090
2019-05-10 0:00:00,3850
2019-05-11 0:00:00,490
2019-05-12 0:00:00,538
2019-05-13 0:00:00,3907
2019-05-14 0:00:00,6197
2019-05-15 0:00:00,4105
2019-05-16 0:00:00,3432
2019-05-17 0:00:00,2571
2019-05-18 0:00:00,250
2019-05-19 0:00:00,340
2019-05-20 0:00:00,3505
2019-05-21 0:00:00,5321
2019-05-22 0:00:00,4539
2019-05-23 0:00:00,4287
2019-05-24 0:00:00,3112
2019-05-25 0:00:00,546
2019-05-26 0:00:00,391
2019-05-27 0:00:00,648
2019-05-28 0:00:00,5302
2019-05-29 0:00:00,4521
2019-05-30 0:00:00,5097
2019-05-31 0:00:00,5197
2019-06-01 0:00:00,514
2019-06-02 0:00:00,897
2019-06-03 0:00:00,7024
2019-06-04 0:00:00,6568
2019-06-05 0:00:00,5294
2019-06-06 0:00:00,5556
2019-06-07 0:00:00,4630
2019-06-08 0:00:00,368
2019-06-09 0:00:00,832
2019-06-10 0:00:00,5075
2019-06-11 0:00:00,4644
2019-06-12 0:00:00,4290
2019-06-13 0:00:00,5018
2019-06-14 0:00:00,4722
2019-06-15 0:00:00,582
2019-06-16 0:00:00,551
2019-06-17 0:00:00,6721
2019-06-18 0:00:00,4810
2019-06-19 0:00:00,5301
2019-06-20 0:00:00,4213
2019-06-21 0:00:00,3615
2019-06-22 0:00:00,528
2019-06-23 0:00:00,540
2019-06-24 0:00:00,4942
2019-06-25 0:00:00,4966
2019-06-26 0:00:00,4577
2019-06-27 0:00:00,4801
2019-06-28 0:00:00,3126
2019-06-29 0:00:00,606
2019-06-30 0:00:00,530
2019-07-01 0:00:00,4564
2019-07-02 0:00:00,4495
2019-07-03 0:00:00,3509
2019-07-04 0:00:00,567
2019-07-05 0:00:00,1125
2019-07-06 0:00:00,639
2019-07-07 0:00:00,638
2019-07-08 0:00:00,3661
2019-07-09 0:00:00,4918
2019-07-10 0:00:00,4590
2019-07-11 0:00:00,4348
2019-07-12 0:00:00,3675
2019-07-13 0:00:00,606
2019-07-14 0:00:00,620
2019-07-15 0:00:00,4305
2019-07-16 0:00:00,4732
2019-07-17 0:00:00,4728
2019-07-18 0:00:00,5033
2019-07-19 0:00:00,3125
2019-07-20 0:00:00,652
2019-07-21 0:00:00,608
2019-07-22 0:00:00,3738
2019-07-23 0:00:00,4341
2019-07-24 0:00:00,4323
2019-07-25 0:00:00,3708
2019-07-26 0:00:00,2996
2019-07-27 0:00:00,583
2019-07-28 0:00:00,779
2019-07-29 0:00:00,3968
2019-07-30 0:00:00,4398
2019-07-31 0:00:00,5432
2019-08-01 0:00:00,3975
2019-08-02 0:00:00,3608
2019-08-03 0:00:00,745
2019-08-04 0:00:00,767
2019-08-05 0:00:00,4508
2019-08-06 0:00:00,4625
2019-08-07 0:00:00,4836
2019-08-08 0:00:00,4335
2019-08-09 0:00:00,3104
2019-08-10 0:00:00,687
2019-08-11 0:00:00,1107
2019-08-12 0:00:00,5201
2019-08-13 0:00:00,5326
2019-08-14 0:00:00,5049
