id,avg_price,avg_cpm,zip_code,zip_code_id,lat,lon,size,price,rate_card_price,floor_price,cpm,impressions,supplier_id,supplier_face_id
196696,100000.0,107.48,4006,39185,34.090494,-118.385351,14' x 48',100000.0,100000.0,,107.48,930436,28,0000190B
277632,550.0,19.6,4048,34425,31.086838,-98.187769,10' x 30',550.0,660.0,,19.6,28060,39,30321
298132,585.0,4.35,4051,9897,36.72027,-82.0122,"10' 6"" x 22' 9""",585.0,702.0,,4.35,134464,39,30701
1500800,3015.0,2.02,4039,19007,39.97464,-83.133213,21' x 60',3015.0,3618.0,,2.02,1489432,39,32
68689,200.0,3.77,4035,38406,35.09557,-106.65914,5' x 11',200.0,240.0,,3.77,53000,39,25881
483257,250.0,9.73,4001,15497,33.48999,-86.95651,6' x 12',250.0,300.0,,9.73,25700,39,7544
315053,480.0,3.85,4042,6432,40.83665,-77.67424,5' x 11',480.0,576.0,,3.85,124768,39,49592
506083,950.0,4.07,4006,40525,34.70399,-118.105,"10' 6"" x 22' 9""",950.0,1140.0,,4.07,233580,39,3774
506113,4500.0,11.65,4006,40535,34.52461,-118.09621,12' x 40',4500.0,5400.0,,11.65,386284,39,4644
141449,375.0,2.94,4001,15976,33.77473,-85.76434,"10' 6"" x 22' 9""",375.0,450.0,,2.94,127504,39,4159
506272,950.0,3.53,4006,40524,34.67333,-118.1325,"10' 6"" x 22' 9""",950.0,1140.0,,3.53,268788,39,33720
141491,1200.0,9.42,4039,18135,39.08628,-84.51752,"10' 6"" x 22' 9""",1200.0,1440.0,,9.42,127396,39,43072
156785,380.0,6.71,4022,31873,32.16149,-91.72216,"10' 6"" x 22' 9""",380.0,456.0,,6.71,56640,39,15841
157305,835.0,3.51,4051,9450,37.42187,-77.43748,"10' 6"" x 22' 9""",835.0,1002.0,,3.51,238096,39,1136
268976,900.0,1.32,4012,14807,28.22799,-82.376115,14' x 48',900.0,1080.0,,1.32,683324,39,28022
141860,900.0,1.1,4001,15479,33.542865,-86.602465,14' x 48',900.0,1080.0,,1.1,820820,39,13144
141867,620.0,3.3,4012,14152,30.41134,-87.233755,12' x 25',620.0,744.0,,3.3,187604,39,35041
481983,635.0,3.47,4001,15536,33.53357,-86.84117,"10' 6"" x 22' 9""",572.0,686.0,,3.13,182972,39,2755
496690,2900.0,4.36,4021,21188,37.97809,-87.60008,14' x 48',2900.0,3480.0,,4.36,664764,39,2583
