id,device_id,programmatic_publisher_id,cpm,cost,display_time,created_at,lat,lon,creative_height,creative_width
300187988,broadsign.com:257058682,85,8.0,0.0092,1579271886,2020-01-17 15:09:08.929044,40.823002,-73.410698,1920,1080
300187989,broadsign.com:168115734,56,5.5,0.0218480127855,1579275617,2020-01-17 15:09:08.929044,38.001138,-84.44048,768,1366
300187990,broadsign.com:292359962,85,6.0,0.00288,1579271063,2020-01-17 15:09:08.929044,36.063301,-95.881699,1920,1080
300187991,lamar.com:020.030050,62,6.0,0.033193333332,1579271475,2020-01-17 15:09:08.929044,27.99372,-81.73969,400,840
300187992,lamar.com:217.003020,62,8.0,0.01363873016,1579271838,2020-01-17 15:09:08.929044,39.28069,-80.26315,400,840
300187993,lamar.com:249.080072,62,6.0,0.031836507936,1579271522,2020-01-17 15:09:08.929044,41.47137959,-87.4706723,400,840
300187994,broadsign.com:166261571,56,5.5,0.0218480127855,1579275107,2020-01-17 15:09:08.929044,34.289937,-81.60453,768,1366
300187995,broadsign.com:154759171,56,5.5,0.0218480127855,1579274348,2020-01-17 15:09:08.929044,25.990599,-80.375999,768,1366
300187996,lamar.com:276.002800,62,8.0,0.035884867728,1579271792,2020-01-17 15:09:08.929044,39.9816,-83.1526,400,1400
300187997,broadsign.com:170827938,56,5.5,0.0218480127855,1579274626,2020-01-17 15:09:08.929044,29.706284,-95.40743,768,1366
300187998,lamar.com:071.013321,62,4.0,0.01532063492,1579271282,2020-01-17 15:09:08.929044,30.41227,-86.738515,400,1400
300187999,broadsign.com:116920186,41,3.0,0.003,1579272769,2020-01-17 15:09:08.929044,43.039623,-76.019638,1080,1920
300188247,lamar.com:271.088933,62,6.0,0.028275595236,1579271926,2020-01-17 15:09:08.929044,40.232942,-76.955161,400,840
300188248,broadsign.com:87733427,56,5.5,0.0218480127855,1579273953,2020-01-17 15:09:08.929044,32.307308,-95.30646,768,1366
300188249,lamar.com:421.000515,62,4.0,0.08969354496,1579272590,2020-01-17 15:09:08.929044,41.424009,-81.565155,400,1400
300188250,lamar.com:140.022703,62,8.0,0.01056380952,1579271191,2020-01-17 15:09:08.929044,34.67421,-88.56157,400,840
300188251,broadsign.com:72913960,56,5.5,0.0183824488485,1579272996,2020-01-17 15:09:08.929044,33.83869,-84.13022,768,1366
300188252,lamar.com:408.030013,62,8.0,0.10700126984,1579271370,2020-01-17 15:09:08.929044,40.45567,-74.48387,400,1400
300188253,lamar.com:434.077831,62,6.0,0.02373015873,1579271052,2020-01-17 15:09:08.929044,36.17582778,-94.19714722,400,1200
300188254,broadsign.com:157135513,56,5.5,0.0218480127855,1579273648,2020-01-17 15:09:08.929044,43.4184,-82.8439,768,1366
300188255,broadsign.com:272802466,95,3.0,0.019755392382,1579271785,2020-01-17 15:09:08.929044,40.7237,-74.0393,1920,1080
300188256,lamar.com:254.050091,62,4.0,0.018577380952,1579271002,2020-01-17 15:09:08.929044,35.38078,-119.01677,400,840
300188257,lamar.com:258.003903,62,4.0,0.008486507936,1579271191,2020-01-17 15:09:08.929044,43.75503,-87.72311,400,840
300188258,broadsign.com:169151208,56,5.5,0.0218480127855,1579275174,2020-01-17 15:09:08.929044,35.682992,-79.838363,768,1366
300188259,broadsign.com:169540008,56,5.5,0.0218480127855,1579272085,2020-01-17 15:09:08.929044,33.872276,-117.56683,768,1366
300188260,broadsign.com:160564427,56,5.5,0.0218480127855,1579270986,2020-01-17 15:09:08.929044,29.813255,-95.311523,768,1366
300188261,lamar.com:260.092002,62,8.0,0.035192380952,1579271159,2020-01-17 15:09:08.929044,32.80828,-115.5689,400,1400
300188262,lamar.com:224.044475,62,4.0,0.17892910052,1579271951,2020-01-17 15:09:08.929044,33.95608,-84.515825,400,1400
300188263,broadsign.com:145961786,56,5.5,0.0218480127855,1579274374,2020-01-17 15:09:08.929044,40.337694,-75.96371,768,1366
300188264,lamar.com:080.090000,62,4.0,0.04537015872,1579271117,2020-01-17 15:09:08.929044,30.1965,-93.1786,625,1000
300188265,lamar.com:215.004191,62,6.0,0.023029841268,1579271414,2020-01-17 15:09:08.929044,30.501,-90.4795,400,840
300188266,lamar.com:273.004156,62,8.0,0.016938492064,1579272006,2020-01-17 15:09:08.929044,40.84725,-79.91075,400,840
300188267,lamar.com:421.000149,62,6.0,0.14503936506,1579272132,2020-01-17 15:09:08.929044,41.41055031,-81.81730717,400,1400
300188268,broadsign.com:146121461,56,5.5,0.0228923328755,1579274406,2020-01-17 15:09:08.929044,28.908047,-81.9778,768,1366
300188269,lamar.com:039.008507,62,6.0,0.045531428574,1579272225,2020-01-17 15:09:08.929044,37.358352,-79.180425,400,1600
